,Time,NNodes,MaxVMSize,NCPUS,ElapsedNum,NodelistSplit
0,1.0,0.0,0.0,0.0,,0.0
1,1.0005,0.0,0.0,0.0,,0.0
2,1.001,0.0,0.0,0.0,,0.0
3,1.0015,0.0,0.0,0.0,,0.0
4,1.002,0.0,0.0,0.0,,0.0
5,1.0025,0.0,0.0,0.0,,0.0
6,1.003,0.0,0.0,0.0,,0.0
7,1.0035,0.0,0.0,0.0,,0.0
8,1.004,0.0,0.0,0.0,,0.0
9,1.0045,0.0,0.0,0.0,,0.0
10,1.005,0.0,0.0,0.0,,0.0
11,1.0055,0.0,0.0,0.0,,0.0
12,1.006,0.0,0.0,0.0,,0.0
13,1.0065,0.0,0.0,0.0,,0.0
14,1.007,0.0,0.0,0.0,,0.0
15,1.0075,0.0,0.0,0.0,,0.0
16,1.008,0.0,0.0,0.0,,0.0
17,1.0085,0.0,0.0,0.0,,0.0
18,1.009,0.0,0.0,0.0,,0.0
19,1.0095,0.0,0.0,0.0,,0.0
20,1.01,0.0,0.0,0.0,,0.0
21,1.0105,0.0,0.0,0.0,,0.0
22,1.011,0.0,0.0,0.0,,0.0
23,1.0115,0.0,0.0,0.0,,0.0
24,1.012,0.0,0.0,0.0,,0.0
25,1.0125,0.0,0.0,0.0,,0.0
26,1.013,0.0,0.0,0.0,,0.0
27,1.0135,0.0,0.0,0.0,,0.0
28,1.014,0.0,0.0,0.0,,0.0
29,1.0145,0.0,0.0,0.0,,0.0
30,1.015,0.0,0.0,0.0,,0.0
31,1.0155,0.0,0.0,0.0,,0.0
32,1.016,0.0,0.0,0.0,,0.0
33,1.0165,0.0,0.0,0.0,,0.0
34,1.017,0.0,0.0,0.0,,0.0
35,1.0175,0.0,0.0,0.0,,0.0
36,1.018,0.0,0.0,0.0,,0.0
37,1.0185,0.0,0.0,0.0,,0.0
38,1.019,0.0,0.0,0.0,,0.0
39,1.0195,0.0,0.0,0.0,,0.0
40,1.02,0.0,0.0,0.0,,0.0
41,1.0205,0.0,0.0,0.0,,0.0
42,1.021,0.0,0.0,0.0,,0.0
43,1.0215,0.0,0.0,0.0,,0.0
44,1.022,0.0,0.0,0.0,,0.0
45,1.0225,0.0,0.0,0.0,,0.0
46,1.023,0.0,0.0,0.0,,0.0
47,1.0235,0.0,0.0,0.0,,0.0
48,1.024,0.0,0.0,0.0,,0.0
49,1.0245,0.0,0.0,0.0,,0.0
50,1.025,0.0,0.0,0.0,,0.0
51,1.0255,0.0,0.0,0.0,,0.0
52,1.026,0.0,0.0,0.0,,0.0
53,1.0265,0.0,0.0,0.0,,0.0
54,1.027,0.0,0.0,0.0,,0.0
55,1.0275,0.0,0.0,0.0,,0.0
56,1.028,0.0,0.0,0.0,,0.0
57,1.0285,0.0,0.0,0.0,,0.0
58,1.029,0.0,0.0,0.0,,0.0
59,1.0295,0.0,0.0,0.0,,0.0
60,1.03,0.0,0.0,0.0,,0.0
61,1.0305,0.0,0.0,0.0,,0.0
62,1.031,0.0,0.0,0.0,,0.0
63,1.0315,0.0,0.0,0.0,,0.0
64,1.032,0.0,0.0,0.0,,0.0
65,1.0325,0.0,0.0,0.0,,0.0
66,1.033,0.0,0.0,0.0,,0.0
67,1.0335,0.0,0.0,0.0,,0.0
68,1.034,0.0,0.0,0.0,,0.0
69,1.0345,0.0,0.0,0.0,,0.0
70,1.035,0.0,0.0,0.0,,0.0
71,1.0355,0.0,0.0,0.0,,0.0
72,1.036,0.0,0.0,0.0,,0.0
73,1.0365,0.0,0.0,0.0,,0.0
74,1.037,0.0,0.0,0.0,,0.0
75,1.0375,0.0,0.0,0.0,,0.0
76,1.038,0.0,0.0,0.0,,0.0
77,1.0385,0.0,0.0,0.0,,0.0
78,1.039,0.0,0.0,0.0,,0.0
79,1.0395,0.0,0.0,0.0,,0.0
80,1.04,0.0,0.0,0.0,,0.0
81,1.0405,0.0,0.0,0.0,,0.0
82,1.041,0.0,0.0,0.0,,0.0
83,1.0415,0.0,0.0,0.0,,0.0
84,1.042,0.0,0.0,0.0,,0.0
85,1.0425,0.0,0.0,0.0,,0.0
86,1.043,0.0,0.0,0.0,,0.0
87,1.0435,0.0,0.0,0.0,,0.0
88,1.044,0.0,0.0,0.0,,0.0
89,1.0445,0.0,0.0,0.0,,0.0
90,1.045,0.0,0.0,0.0,,0.0
91,1.0455,0.0,0.0,0.0,,0.0
92,1.046,0.0,0.0,0.0,,0.0
93,1.0465,0.0,0.0,0.0,,0.0
94,1.047,0.0,0.0,0.0,,0.0
95,1.0475,0.0,0.0,0.0,,0.0
96,1.048,0.0,0.0,0.0,,0.0
97,1.0485,0.0,0.0,0.0,,0.0
98,1.049,0.0,0.0,0.0,,0.0
99,1.0495,0.0,0.0,0.0,,0.0
100,1.05,0.0,0.0,0.0,,0.0
101,1.0505,0.0,0.0,0.0,,0.0
102,1.051,0.0,0.0,0.0,,0.0
103,1.0515,0.0,0.0,0.0,,0.0
104,1.052,0.0,0.0,0.0,,0.0
105,1.0525,0.0,0.0,0.0,,0.0
